application,weight
adobe-echosign,1
alteryx-base,2
apple-push-notifications,24
apt-get,1265
azure-log-analytics,407
azure-openai-encrypted,1
bacnet-write-property,3
canva-base,1
capwap,1
cloudinary-base,36
datadog,429
dns-base,4484
dtls,5
facebook-base,1
firebase-cloud-messaging,21
github-base,62
github-pages,1210
google-analytics,7
google-base,1469
google-maps,29
http-proxy,6
icmp,37
insufficient-data,59
jira-base,4
ldap,161
linkedin-base,3
microsoft-dynamics-crm,33
microsoft-excel,4
microsoft-intune,2
modbus-read-holding-registers,1
mqtt-connect,2
mqtt-disconnect,1
ms-ds-smb-base,16
ms-ds-smbv3,187
ms-office365-base,509
ms-onedrive-base,2
ms-onedrive-business,2
ms-update,420
ms-visual-studio-tfs-base,37
ms-wmi,4
msrpc-base,163
mssql-db-base,66
mssql-db-encrypted,2508
mssql-db-unencrypted,127
mssql-mon,52
mysql,2
netbios-ns,61
niagara-fox,44
ntp-base,178
ocsp,440
octopus,2
okta,580
open-vpn,6
openai-api,2
oracle,90
oracle-eloqua,39
outlook-web,82
postgres,4
quic-base,1
rabbitmq,4
rtcp,2
rtp-base,2
rtsp,6
salesforce-base,67
sendgrid,216
service-now-base,36
sharepoint-online,60
slack-base,2
slp,2
smtp-base,108
snmp-trap,3
snmpv1-get-next-request,3
snmpv1-get-request,2
snmpv3-get-next-request,2
snmpv3-get-request,3
soap,111
splunk,166
sproutsocial,9
ssl,6812
unknown-tcp,13
web-browsing,2566
webex-base,1
windows-azure-base,139
youtube-base,1
zendesk-base,7
zoominfo,2
